block_time,score,block_hash
16.24,81.7,00000000000000000003b1915abf89d42b8c5d4e85e0d0454add72fd791e7a03
19.73,84.899994,00000000000000000000cf0e2a720d2d49c53e3ff91317c7d385ee702a4e8f62
2.28,99.7,000000000000000000021d546d046f221163a97dfa776b33dbdbcbd30f1d9048
30.27,92.0,00000000000000000001fabc47cf442bb6d457940ea0efb2db6c9910e536b795
2.02,86.9,000000000000000000046e1ce1357707779e93eb0cdf071c095d5064c4be2d7c
5.72,75.2,00000000000000000000c060c2b0a6b93d98656f0af0856857982e157c53b0d0
7.4,33.8,0000000000000000000062f15f8ea212d05d3c4ba429d63395b41dc7da7ad1d4
7.76,75.2,000000000000000000036733364ffe7425b49e40dfe9c0414b70e9842d71f8f2
14.99,79.9,000000000000000000007aca2d2524a0654b7666946a7ebf5ce17c068c356d6e
3.4,91.1,000000000000000000030a7cf51d3987b5c7b5bd048b5c46db4558eb8c9c1b4b
4.85,76.3,00000000000000000003f3fdde3691fb7456eb05a0b9d0033afa1fa60397576c
8.76,57.4,00000000000000000004daf1bc6600806492c73ab29bdea440bafd9f0c944e15
23.6,91.1,00000000000000000001a2ccb4cf0611da8234629676898578f1962c0ba6a674
3.08,94.1,0000000000000000000195c6135d7af7939fb2b03525304934cee44d6e714f6e
9.34,82.5,0000000000000000000130b4444201aa45517c144b21f47c5de8e73340fe881d
14.21,88.8,00000000000000000003b7b9364d3090590e0d1874dd0b391055ad94c4b94e22
10.55,64.700005,00000000000000000001e5cc1b7afa8b69500657ee25484235802e378cac85a2
13.84,78.4,000000000000000000019875bb946e22b1fe1873d6af43a3f172eae4fd5b4342
2.97,70.8,00000000000000000000bb2e6e2638f1452493d1d76e9a9993cc2af285317a78
11.22,70.6,0000000000000000000091f7951c4a236eb3c00d7e7e04a1c42a5d8aa7fac26a
5.55,73.799995,00000000000000000003d830d81f0eea4d4a7340b039cea1a975207261a279c2
8.99,82.5,0000000000000000000418818152d39aeb34d23103f19f07adc73d36ef27a18b
18.28,98.0,000000000000000000030a8b47e423dcc37a25da793cef064f9e705630250d25
24.5,98.2,000000000000000000042337b469959ab5ab581f393c2d9e31d64b0b61c81502
15.14,97.399994,00000000000000000004ddf7d45724f6dfe8b7e05c3fcf7aa79dc03f3d346451
23.74,83.1,0000000000000000000115a254aefecb901263a802f2092ce81c5d642b24e927
2.39,95.6,0000000000000000000129f389dc62ed91ad78866539ac77b0d9b9a3487b5b89
7.72,94.5,0000000000000000000026af441d942f9eb7733a3756a5eb94813f1b36131ae3
16.46,96.200005,0000000000000000000177925754a483c9d4cc9f2eee41ee8c68707d655eab7c
5.23,60.2,00000000000000000000458001800036d90b2494d32ca46de5f809aa4fb31f7a
9.58,79.0,00000000000000000000bc9b1e12c963838f76b308aadd87f4a95e5447df9f22
6.87,98.4,000000000000000000011a8b18b3cd2fe7ad7a854fd904af74f5fd6a395edfd1
10.06,96.200005,00000000000000000000cd723f59968d90f0ff457c4ab93256b3d258dbdaea95
19.25,77.8,00000000000000000001dbcc31b309ad4c88269f5961cb7c8692edeed0216a28
5.55,96.0,000000000000000000007bdab3cb2016bed903fa7abd724bfe79ebc434f18655
20.03,99.5,000000000000000000049798e3568be61a228889cf37a0bd1dfe233ba4940b13
11.16,93.6,00000000000000000001c31d048c6695fb86b739dc02633850c7d2c006669ddc
23.81,98.6,0000000000000000000493cdd4f2c25dbd02b087b9b818acf645c33730e75e55
8.9,59.899998,00000000000000000002504328a76417dd78ecc3275d11796a330d442f3a23fc
26.56,95.5,000000000000000000008f64293a22430c8b735d2e6d4de6957c5934589eab38
16.86,85.7,0000000000000000000096fe6d8bdc1654e8e0f69119777be395108414035106
19.22,82.9,00000000000000000001bb358951fb842a6ee770b075a2263ed999488da1e4ba
10.46,56.0,00000000000000000001aba69068265e4c485e4d7cbc064a498b2dc83152c3d9
39.64,86.1,00000000000000000003842b21cfcf5ba4a9479b780d65eb29d665a5cc0b5c6d
11.83,98.299995,0000000000000000000155e572230d2deb43d814e5717c2300074047cc810609
16.96,86.299995,000000000000000000032289424daca0d7fece5789f90637d48d8e2d09e281b7
5.33,57.0,000000000000000000038a7b781d04edaa3275e1fd2de786bd03c4b311776d36
5.48,53.399998,000000000000000000045bd478426876ad132eb26610c732e0e7b26aa4510df6
3.36,51.5,00000000000000000004e35c3c83e48a1c769499daa4c56e0cd3c0042dccc2d5
4.43,64.0,00000000000000000003ba6c280d7b513ba7890413cf211ce58cf0ab060069ab
3.55,97.899994,000000000000000000026ea08610ed804e3b4ff0cfb1beade831739c3901fe3d
7.21,71.100006,00000000000000000004a207300bf994bbb6fb1992d42c63beaaf7d7771d7550
4.62,46.8,00000000000000000003092df610a683c069a5f13b1a3b6a1e4d6fad759c8df2
23.91,89.4,000000000000000000021aacf98201950bd9a97a33174c14ced011817af2776c
2.72,86.4,00000000000000000002f1f94f3e539c369ecb3d2955018a29b1c1764857e2a0
5.24,46.9,000000000000000000004b5c0f0e7c76c1af222a4488d4ada4f44d65e30debe0
30.37,95.0,000000000000000000018132296eed44153a9188915c748d442821ba616ca189
32.38,86.5,00000000000000000002ed7eaf02b1ccd4eb3429c01f506b993ec457dd40b156
13.54,89.700005,00000000000000000004ab45f7de2b088fc00af1c61e6f13ba76ef554f49db9f
9.39,92.4,0000000000000000000051528556cb544699b5519d86a87de6a168e91d4c6bd0
4.71,87.2,000000000000000000007f8f6f0a4fe3e728cd4b7896faa7f9f9d08be3649927
3.37,62.1,00000000000000000003a470a9438c820a3ec18d8df60aca36087deb5d37ba52
38.04,86.5,00000000000000000001334166135216f1fc5e66ea58ea18129233d9c31a551a
24.4,85.2,000000000000000000048489703eb01bec50db9704a4cbff53e265c88b340016
4.74,74.1,00000000000000000003af5d34910969f5805ea0d3b5766d6ed9c25bdc7bfb26
2.19,91.2,000000000000000000043bedeaf7fd4c8fd80d3b9e79b8fda2c46e3a3c109c64
7.69,85.799995,000000000000000000045c17ae6631fd71dce84bf3fd264816d00c6f75b80f64
11.31,71.9,00000000000000000000d5c5accbd418f798cde0c383a85600fe86113172d32b
5.81,99.8,00000000000000000001fed2fee61855395a3851dbb6f851920496b7264cf8e3
12.72,86.0,000000000000000000035e3d415df06d6aef8d92c82bef7781b15004ef2db08e
3.82,93.6,000000000000000000010ac21288764c65a5ff0014ae6baba9e78a3292fed54d
9.09,59.3,000000000000000000036c982cef4879e5dd435ec3c6a3aef9366499d1084b5f
4.44,30.1,00000000000000000004c37fd4b1111e7d605d2ad68050ee719f78141efe7cc3
15.45,76.4,000000000000000000029a5e0fc98e14b0f2945170f4e797c0bcc5d8d9905ec2
1.64,18.199999,000000000000000000041d5e9a4661eaf80ea623cc7c3d8fea4e234bfcb397ac
7.75,71.9,00000000000000000001c77a8f3402c2e2904c906cb527b8127d67220cb46608
10.77,82.1,00000000000000000000f3a3a974f12868f50e8cd5643d8fe8bd5e5c4f85da69
49.1,95.200005,0000000000000000000192a328f754a072759a8f81bddf337cd967abaa4070d8
36.7,85.299995,00000000000000000000121d907de82976fdd7b6fec6339106458cb18785a753
15.55,81.3,00000000000000000003a573c296ca498e40ccde456fd0f958b583ce000d11e9
2.22,78.6,00000000000000000003109c1455384e11dd2f7d0614c5706e252374208b87aa
3.44,98.1,00000000000000000003ab13b6edbd92eaa487c0bbaf1dc33ab0d988d9b30ba7
9.89,99.5,000000000000000000048d52cf3ef95f23c3adce849311d5e6af2414cd6fb8e2
7.91,82.3,00000000000000000002022382a3bd539a727079346d81560f88495e4db39105
4.47,74.9,00000000000000000000a1f8ad0dca92e7fdafd2f2eaa6554dccd93ff445093b
9.03,90.200005,00000000000000000001a5596e1f6ea291538fa058fc0933a1fbcb44192dc968
17.57,80.2,000000000000000000028efb8e452ca7f1271fead9c5da7ed49b75aa9ff89b6b
7.19,89.200005,00000000000000000004cf117bbe17a596e56c43f0d4bdbc6c9fbe4c4f3bd6b2
16.64,83.0,0000000000000000000367d9756be85f80f0fb1eef3cba8b0be3c6f0b24264a1
3.01,88.700005,00000000000000000004268e0ba960b2986467a0f82c3287fa01ed6b77baa834
5.54,25.3,000000000000000000027911609e5a188dbc916b6804cd24829a2613637fbc16
12.16,87.5,00000000000000000004100dbc9079aa8a580886de19f76a1a56f0749bf754c5
26.25,88.9,0000000000000000000448f156af72eb120fbcbd3cdedabee9e0d8179c3c3689
9.97,82.6,00000000000000000002aca3b13ab726b8b79476054eb0a342aa8982fc07630f
19.81,85.799995,0000000000000000000034d5938c84e10ce4b83ddb62184d82096bfd957bcdb2
20.7,83.4,000000000000000000046cb36f4e7e75cb35ac86ef20b1b8faff364cf5fca55e
24.37,88.9,000000000000000000009daf6ae313e2f904e43e6c7ed928c56e50c1423535fe
1.93,84.4,00000000000000000001cc50d0813b6d274dbb430bac419e52bd8a602806fd12
12.5,99.299995,00000000000000000002086f632672ca17815aab22b4d008be431185ce308863
17.45,84.0,00000000000000000002e1a2b4570b795fd1bd80acad42b4fae4277f92a12fdc
4.38,54.9,000000000000000000049389a9912b63ecec56304fff21308727ea932e87eadc
12.22,97.299995,00000000000000000004221d79fa2cbb0b4e6ae1071cb4128506313166d0b4d2
13.29,72.1,00000000000000000002df1ac2abfcb7a0b3e68f6d3840233083aff8851a2dd7
3.79,47.3,00000000000000000000281cce5eb89b522bf6be95b058ad1281ce59b123f643
21.93,96.8,00000000000000000003c55a00ac9ecf95ace9aa920cf68680ee348326840bda
11.11,85.9,000000000000000000008cc269a21b7814174ec0784cd2d8b1338ebe06f5f077
10.41,64.700005,00000000000000000002263fc3c5f30525f25fb2af0c531d0733cd6c79333bfd
4.01,44.3,000000000000000000018cd182464ad818a0d05ea6be1b1227eb886d22f68b64
2.63,81.9,0000000000000000000431dc8dd360035af7996ca598938443561b3255319811
5.64,84.799995,00000000000000000004dc0652fe7ab0f7d98799754ce55b0eda91b67800f130
4.3,77.700005,00000000000000000000c2cb9601acdced46813804b1160a90f5b66d648b988c
7.76,94.0,00000000000000000004e816f94e3a4bce65b84acb59c736a94ae96b781887f2
4.14,76.700005,0000000000000000000443be9974e08fcb232d956bf0b18f786c7cd30c88376b
3.37,51.300003,000000000000000000018716d5580ba667e0942eb8ce83e437be02c96dce560d
10.05,60.600002,000000000000000000045df3359b5a85fc7f4f68367752e83111a8476234fb8c
7.92,79.4,000000000000000000046552979f436028649f1957cb4f1a6ce9bab829d6a07b
13.47,87.9,0000000000000000000269b15c97e2536a9c76d48ef43d5241dc4cf3240364c4
1.13,69.4,00000000000000000002eea1a133e89891d4719d9230ce177d4545fd4dc55682
11.38,83.9,000000000000000000004650226cf93b950349418499b1b4c103f662e132420f
24.5,87.9,0000000000000000000309a477b64a1bee707999a705457aad3c7d25eef08a13
7.88,90.7,000000000000000000039eb0f72df27fb28fb696326087bf9d8ed6ba2ba6d0d4
8.46,52.0,00000000000000000001811c5615ab39ba38e8a780b0d196381b20fa6862ea2a
1.8,64.1,00000000000000000001ac4d17d30553935478dea42369b95385e49398c7bda5
3.89,98.9,0000000000000000000361628e2ebb590a9c2096191b044fd6663c612e5073c8
54.93,89.200005,00000000000000000001f127fa4bf624460b6e81898790c1e81b6af2d181e360
25.05,87.8,00000000000000000000de80b0df113f031972e644166a5746346d9b8593d6f3
1.32,95.8,00000000000000000002ce334e2f4841f75677c211c243f949cf26a3b9d0dc34
2.4,88.6,00000000000000000000a0dc4e429ed3f76f3406002ef56ba5f3c3855a27cdeb
15.5,83.9,00000000000000000000346623e8f662fad25b66b7a820a2f97e4eb54d76bcf1
12.46,74.299995,0000000000000000000041fa725e61234a050fe220823f9dee128dc24176af52
0.49,97.5,00000000000000000003e08a94e77ebaf55ef98daf468d110f70d2db4bfc8284
42.59,91.799995,000000000000000000031534c4342b76602f53a9553f83433aba0e141dbd997a
3.95,69.700005,00000000000000000002bef8e42a00c2b0f7ba3e5e4c8339086cc6fd44258390
9.48,97.5,00000000000000000000444c1a0025d2f1492b9a3c96016560da3aa246d708e4
10.43,93.5,000000000000000000011cac34f6c1b57320c1f8051d6d21190254aa6e723ac5
5.32,89.8,00000000000000000004d8a55de7a5aca367f24883f919862c0fe030fec4e568
31.64,91.799995,000000000000000000003170170ec7bf3b8bb53ba6e8720c545fa61241787108
5.57,80.0,00000000000000000002707f29a4f6db3686a565991896f993d8df81ba7ff3ec
17.73,93.0,00000000000000000000c16f264a90c93da1b24bf30b7b6e22d2df1e13bdf30e
2.96,77.3,00000000000000000000ba64a43d6bde3d92ded280ca0bfacbb86508d34b58ed
3.98,88.3,0000000000000000000433b62979b552ea26ac2611e129de926246c115e9bef0
4.71,94.6,00000000000000000000aac38746f4828e78b90b0f95f9ad3f26e8ed052df1b1
21.19,82.700005,000000000000000000018057b00b795851bae2944bf74abaf02461390ca85bac
8.83,79.2,00000000000000000003e764c9e4a0bc12d42655c785f515e59a9e082d3b43fc
0.66,90.0,00000000000000000000906735779154cad648fdb8472f240b130bb4432b008b
8.96,63.6,000000000000000000032ef5256095201c0ef6acd4a9958b7430625b61edfc23
1.59,98.799995,00000000000000000000377375a78ec04103a247657285912482de58e702a190
7.83,84.2,00000000000000000002ccc2cb5617e799fa14f5aee6868d2a3d73a6fa37b5c7
6.94,96.200005,0000000000000000000383e35212227acda87dc57ecb8e71c2e7511f5bcad0e9
28.13,88.6,00000000000000000001a5dce0e3ef5f6a8f7551b63af69ab88407af7173c663
2.42,88.700005,00000000000000000000ddbe9d147b9c3f03715730ceb6dda870afc7dcd3e721
7.81,59.2,00000000000000000002a43a8c880b0a995f56fe15689dd7925379f006027395
8.04,83.5,0000000000000000000019af6bd7cf51a7577593e7860e135c41cb2891fcbfe2
12.63,71.200005,000000000000000000037a5876d0f1dc1de195af69e8cd7ec4850b9792f85d59
5.62,97.799995,0000000000000000000235fa86c66bf0ba443c3c648248580b48b1473a21af67
5.44,97.5,00000000000000000000aa33d06ed46e9bc8ce489323fe6183b06ff5522e0ce8
10.82,87.2,0000000000000000000251c2e99c5fcbb64e442db72d9a7148465407470fca3c
7.69,82.1,00000000000000000004cc052d5313645355ebeab1e7a257da6594195b2eeae5
15.61,86.0,00000000000000000003f51f423227ff545c48dd8e14bc32091d11a7cd1f874c
8.21,96.200005,000000000000000000018545646fbcfd4ea637fd6b371c2d47c42a0291f41a90
8.92,84.4,000000000000000000018f157ea60e533cb6f14ef94fcce7d6ff5f8330634439
