block_time,score,block_hash
8.87,98.299995,0000000000000000000430857f661701d9ad5573b5e2694685be0213c79f29e9
18.37,87.3,00000000000000000000e9dd35791a29aa35342b48e263a00325ad4ddba6fc78
3.54,90.8,0000000000000000000348e9d6bf6707b26c5b0b8a9088873d8d5f86389ccbac
8.23,56.300003,00000000000000000001529f8e67e537ba5b7c3681b727ee079562c707d99dcd
13.7,77.100006,0000000000000000000431db9d1da0505395aafcd5903308e01dd2196c651a57
16.38,89.9,00000000000000000000f20d6dc0cb284b3b5089302c7339803371fb042d08fa
9.23,89.200005,000000000000000000035dde8bec40270f23d23554a30d92e88a7edb288ba768
5.78,88.5,00000000000000000000276b513f2b62db1a8a96830f9bcd246de88322fae926
15.37,91.6,0000000000000000000480ac09fbc127059f2e553f4093971a5539eb657050f0
3.2,62.9,00000000000000000003420eb61af14fe062eec4f89e6bee5cfc16a0f5d600fc
18.45,74.8,00000000000000000003d88320ad19711c7cbb614d3a585e45ef5e8c2daa99eb
11.81,71.3,0000000000000000000335727ec64bd656dd1f19fbdfc0b5198f12810ea22a05
16.51,98.7,0000000000000000000300cb1dbf25b7b595a8811bce7e64d1e39f8a031ea514
17.33,93.2,000000000000000000034940a6ac14154804419e0aa319c5f5c082a43331d872
4.0,58.2,000000000000000000021f504900c6388bb82a55de89bd7167bace54da488a15
6.28,50.9,000000000000000000047848cc1869525ba3dffef5c1d9685861bedca89d5926
18.01,97.5,00000000000000000003cde47d480e831421a3cbae6efcb761a69b51dc9fe540
31.51,93.1,000000000000000000003aa02787bc6a76a62a4ecf51ac2e221c8b1974e6ed48
17.08,83.0,00000000000000000000dc962583016954dda7f7adab622b01dcdb085d06e9bd
4.57,58.399998,000000000000000000005e4a7ebde194966d3b666f87af0ae06ea919ae76fb02
13.64,85.7,000000000000000000005fe4ad00a89199088973d6706c6609692df4a66bd87d
17.1,82.1,000000000000000000033aa58b30f65e493a4f91d26cce63dad872719d647913
3.42,63.0,000000000000000000013cb9713b3e3df24e0b76e2f8553112c4f4b47d2e6fb1
4.99,57.300003,00000000000000000001f83db9da8219549686a17d81596c60692ccec18f5231
26.73,87.3,0000000000000000000277dbd656859f617a258b101d5f6722f10104153705c9
12.86,91.7,00000000000000000003173f2fc5b3e17fa22990bee62b0d0f7049d31b4db9cc
6.89,70.700005,00000000000000000003df5904cab7fcaf6e3d1e9450c8c7b7354e12273df23a
27.46,98.9,00000000000000000002d686dae5429ddb800d2b7c61797f2e9820ded7148a4d
14.87,97.0,00000000000000000003018de5bb964c93df4f626f24814e96e28c955417b5d7
5.8,51.5,00000000000000000004333e51125f90ae9c2c4b4b99169a747e9e4d682b79cf
15.79,68.8,000000000000000000028166f16ab19c73a745cf7aba86256b3028163986b980
23.78,85.5,0000000000000000000144134697afa3061b2e6684d3d28ab69e0abcea3a4a9d
